web-scraper-order,Street,full_address,PLZ,Ortschaftsname,Kantonskürzel,housenumber,strplz,address_geocoding,latitude,longitude
1672673301-30157,Rue de Pas de l'Ours 23,"Rue de Pas de l'Ours 23, 3963 Crans-Montana",3963,Crans-Montana,VS,23.0,9450,Rue de Pas de l'Ours 23 Crans-Montana,47.3814582824707,9.553436279296875
1672673305-30169,Route de la Moubra 50,"Route de la Moubra 50, 3963 Crans-Montana",3963,Crans-Montana,VS,50.0,5600,Route de la Moubra 50 Crans-Montana,47.37190628051758,8.209335327148438
1672673305-30170,Route de Marigny 8,"Route de Marigny 8, 3963 Crans-Montana",3963,Crans-Montana,VS,8.0,5600,Route de Marigny 8 Crans-Montana,47.37190628051758,8.209335327148438
1672673308-30196,19,"19, Rue des Anémones, 3963 Crans-Montana",3963,Crans-Montana,VS,19.0,4123,19 Crans-Montana,47.55331039428711,7.558510780334473
1672673308-30199,Rte du Pas-de-l'Ours 9,"Rte du Pas-de-l'Ours 9, 3963 Crans-Montana",3963,Crans-Montana,VS,9.0,4123,Rte du Pas-de-l'Ours 9 Crans-Montana,47.54981994628906,7.527727127075195
1672673312-30206,Route cantonale Sierre-Montana 67,"Route cantonale Sierre-Montana 67, 3963 Crans-Montana",3963,Crans-Montana,VS,67.0,4123,Route cantonale Sierre-Montana 67 Crans-Montana,47.54646301269531,7.544092178344727
1672673312-30208,Route des Briesses 4 Crans-Montana,"Route des Briesses 4 Crans-Montana, 3963 Crans-Montana",3963,Crans-Montana,VS,4.0,6055,Route des Briesses 4 Crans-Montana Crans-Montana,46.93515396118164,8.275182723999023
1672673312-30211,Route de Marigny 6,"Route de Marigny 6, 3963 Crans-Montana",3963,Crans-Montana,VS,6.0,6248,Route de Marigny 6 Crans-Montana,47.14787292480469,8.001398086547852
1672673315-30236,Route de la Combaz 50,"Route de la Combaz 50, 3963 Crans-Montana",3963,Crans-Montana,VS,50.0,5000,Route de la Combaz 50 Crans-Montana,47.39094161987305,8.063745498657227
1672673318-30242,Rue du Zier 20,"Rue du Zier 20, 3963 Crans-Montana",3963,Crans-Montana,VS,20.0,5004,Rue du Zier 20 Crans-Montana,47.40116882324219,8.058948516845703
1672673318-30244,Rte Pirazzilina no 15,"Rte Pirazzilina no 15, 3963 Crans-Montana",3963,Crans-Montana,VS,15.0,5032,Rte Pirazzilina no 15 Crans-Montana,47.4013671875,8.076577186584473
1672673318-30245,Rue de Pirrazilina 17,"Rue de Pirrazilina 17, 3963 Crans-Montana",3963,Crans-Montana,VS,17.0,5032,Rue de Pirrazilina 17 Crans-Montana,47.39940643310547,8.074292182922363
1672673318-30251,Rue de Tsintres 6,"Rue de Tsintres 6, 3963 Crans-Montana",3963,Crans-Montana,VS,6.0,8355,Rue de Tsintres 6 Crans-Montana,47.49143600463867,8.905611038208008
1672673318-30258,Rue de Tsintres 6,"Rue de Tsintres 6, 3963 Crans-Montana",3963,Crans-Montana,VS,6.0,8356,Rue de Tsintres 6 Crans-Montana,47.47869110107422,8.903913497924805
1672673321-30275,Rue de Pirrazilina 19,"Rue de Pirrazilina 19, 3963 Crans-Montana",3963,Crans-Montana,VS,19.0,6026,Rue de Pirrazilina 19 Crans-Montana,47.13054275512695,8.259293556213379
1672673321-30277,Rte des Barzettes 39,"Rte des Barzettes 39, 3963 Crans-Montana",3963,Crans-Montana,VS,39.0,5734,Rte des Barzettes 39 Crans-Montana,47.26384735107422,8.195143699645996
1672673321-30278,Route des Barzettes 39,"Route des Barzettes 39, 3963 Crans-Montana",3963,Crans-Montana,VS,39.0,6946,Route des Barzettes 39 Crans-Montana,46.0617561340332,8.949516296386719
1672673321-30279,Route de l'Europa 1,"Route de l'Europa 1, 3963 Crans-Montana",3963,Crans-Montana,VS,1.0,5735,Route de l'Europa 1 Crans-Montana,47.2457275390625,8.175408363342285
1672673328-30300,Rue du Pas de l 'Ours 5,"Rue du Pas de l 'Ours 5, 3963 Crans-Montana",3963,Crans-Montana,VS,5.0,8213,Rue du Pas de l 'Ours 5 Crans-Montana,47.690284729003906,8.498636245727539
1672673328-30301,Rue du Pas-de-l'Ours 1B,"Rue du Pas-de-l'Ours 1B, 3963 Crans-Montana, 3963 Crans-Montana",3963,Crans-Montana,VS,1.0,8213,Rue du Pas-de-l'Ours 1B Crans-Montana,47.68946838378906,8.499809265136719
1672673328-30306,Rue Lhassa 26,"Rue Lhassa 26, 3963 Crans-Montana",3963,Crans-Montana,VS,26.0,8156,Rue Lhassa 26 Crans-Montana,47.46940231323242,8.50555419921875
1672673328-30307,Route de la Prairie 42,"Route de la Prairie 42, 3963 Crans-Montana",3963,Crans-Montana,VS,42.0,8156,Route de la Prairie 42 Crans-Montana,47.46904373168945,8.505398750305176
1672673328-30308,rue des Zirès 2,"rue des Zirès 2, 3963 Crans-Montana",3963,Crans-Montana,VS,2.0,9203,rue des Zirès 2 Crans-Montana,47.43825149536133,9.197020530700684
1672673331-30327,Rue du Pont Diable 11,"Rue du Pont Diable 11, 3963 Crans-Montana",3963,Crans-Montana,VS,11.0,8523,Rue du Pont Diable 11 Crans-Montana,47.52121353149414,8.888853073120117
1672673331-30331,Route de Marigny 17,"Route de Marigny 17, 3963 Crans-Montana",3963,Crans-Montana,VS,17.0,8353,Route de Marigny 17 Crans-Montana,47.501502990722656,8.864635467529297
1672673331-30333,Route du Clovelli 18,"Route du Clovelli 18, 3963 Crans-Montana",3963,Crans-Montana,VS,18.0,8353,Route du Clovelli 18 Crans-Montana,47.488033294677734,8.870528221130371
1672673331-30335,Rte des Barzettes 34,"Rte des Barzettes 34, 3963 Crans-Montana",3963,Crans-Montana,VS,34.0,5325,Rte des Barzettes 34 Crans-Montana,47.59498596191406,8.172268867492676
1672673334-30347,Route des Barzettes 15,"Route des Barzettes 15, 3963 Crans-Montana",3963,Crans-Montana,VS,15.0,8610,Route des Barzettes 15 Crans-Montana,47.34881591796875,8.702829360961914
1672673334-30350,6,"6, route des Barzettes, 3963 Crans-Montana",3963,Crans-Montana,VS,6.0,4852,6 Crans-Montana,47.309051513671875,7.897547721862793
